id,year,servicegood,importexport,title,price
315,2002,good,export,"Foods, Feeds, Beverages",49616
316,2001,good,export,"Foods, Feeds, Beverages",49407
317,2000,good,export,"Foods, Feeds, Beverages",47871
318,1999,good,export,"Foods, Feeds, Beverages",45977
319,1998,good,export,"Foods, Feeds, Beverages",46397
320,1997,good,export,"Foods, Feeds, Beverages",51507
321,2010,good,export,Industrial Supplies,391748
322,2009,good,export,Industrial Supplies,296709
323,2008,good,export,Industrial Supplies,388033
324,2007,good,export,Industrial Supplies,316335
325,2006,good,export,Industrial Supplies,276045
326,2005,good,export,Industrial Supplies,233045
327,2004,good,export,Industrial Supplies,203960
328,2003,good,export,Industrial Supplies,173043
329,2002,good,export,Industrial Supplies,156812
330,2001,good,export,Industrial Supplies,160104
331,2000,good,export,Industrial Supplies,172615
332,1999,good,export,Industrial Supplies,147524
333,1998,good,export,Industrial Supplies,148266
334,1997,good,export,Industrial Supplies,158226
335,2010,good,export,Capital Goods,446597
336,2009,good,export,Capital Goods,390461
337,2008,good,export,Capital Goods,457655
338,2007,good,export,Capital Goods,447433
339,2006,good,export,Capital Goods,414986
340,2005,good,export,Capital Goods,363322
341,2004,good,export,Capital Goods,331475
342,2003,good,export,Capital Goods,293621
343,2002,good,export,Capital Goods,290437
344,2001,good,export,Capital Goods,321714
345,2000,good,export,Capital Goods,356934
346,1999,good,export,Capital Goods,310794
347,1998,good,export,Capital Goods,299612
348,1997,good,export,Capital Goods,294549
349,2010,good,export,"Automotive Vehicles, etc.",111989
350,2009,good,export,"Automotive Vehicles, etc.",81715
351,2008,good,export,"Automotive Vehicles, etc.",121451
352,2007,good,export,"Automotive Vehicles, etc.",121045
353,2006,good,export,"Automotive Vehicles, etc.",106977
354,2005,good,export,"Automotive Vehicles, etc.",98406
355,2004,good,export,"Automotive Vehicles, etc.",89292
356,2003,good,export,"Automotive Vehicles, etc.",80686
357,2002,good,export,"Automotive Vehicles, etc.",78942
358,2001,good,export,"Automotive Vehicles, etc.",75435
359,2000,good,export,"Automotive Vehicles, etc.",80356
360,1999,good,export,"Automotive Vehicles, etc.",75256
361,1998,good,export,"Automotive Vehicles, etc.",73157
362,1997,good,export,"Automotive Vehicles, etc.",74029
363,2010,good,export,Consumer Goods,165883
364,2009,good,export,Consumer Goods,150035
365,2008,good,export,Consumer Goods,161281
366,2007,good,export,Consumer Goods,146102
367,2006,good,export,Consumer Goods,129074
368,2005,good,export,Consumer Goods,115285
369,2004,good,export,Consumer Goods,103075
370,2003,good,export,Consumer Goods,89908
371,2002,good,export,Consumer Goods,84359
372,2001,good,export,Consumer Goods,88331
373,2000,good,export,Consumer Goods,89377
374,1999,good,export,Consumer Goods,80922
375,1998,good,export,Consumer Goods,79261
376,1997,good,export,Consumer Goods,77366
377,2010,good,export,Other Goods,54341
378,2009,good,export,Other Goods,43215
379,2008,good,export,Other Goods,50673
380,2007,good,export,Other Goods,47300
381,2006,good,export,Other Goods,43589
382,2005,good,export,Other Goods,36964
383,2004,good,export,Other Goods,34404
384,2003,good,export,Other Goods,32487
385,2002,good,export,Other Goods,32937
386,2001,good,export,Other Goods,34110
387,2000,good,export,Other Goods,34765
388,1999,good,export,Other Goods,35324
389,1998,good,export,Other Goods,35444
390,1997,good,export,Other Goods,33505
391,2010,service,import,Total Services,403048
392,2009,service,import,Total Services,380909
393,2008,service,import,Total Services,403413
394,2007,service,import,Total Services,378130
395,2006,service,import,Total Services,348918
396,2005,service,import,Total Services,313540
397,2004,service,import,Total Services,296105
398,2003,service,import,Total Services,256664
399,2002,service,import,Total Services,233737
400,2001,service,import,Total Services,210385
401,2000,service,import,Total Services,218503
402,1999,service,import,Total Services,189396
403,1998,service,import,Total Services,181011
404,1997,service,import,Total Services,166907
405,2010,service,import,Travel,75507
406,2009,service,import,Travel,74118
407,2008,service,import,Travel,80494
408,2007,service,import,Travel,76167
409,2006,service,import,Travel,72104
410,2005,service,import,Travel,68970
411,2004,service,import,Travel,65635
412,2003,service,import,Travel,57444
413,2002,service,import,Travel,58715
414,2001,service,import,Travel,60117
415,2000,service,import,Travel,64788
416,1999,service,import,Travel,58865
